reserve_id,chain_id,protocol_type,asset_address,asset_symbol,asset_decimals,total_supply_shares,total_borrow_shares,interest_accumulator,reserve_factor,irm_id,product,supply_cap,borrow_cap,max_liquidation_discount,liquidation_cooloff_time
0x00011d9A1EB3d7278b8DF2391e2E32f6f9bcF293,1,euler_v2,0xFfEc096c087C13Cc268497B89A613cACE4DF9A48,PT-USDS-14AUG2025,18,0.0,0.0,1.0,0.0,,frontier-spark,inf,inf,0.15,1
0x016d8f9634b4AFfFEEa86B3ad95d54fd94fd04ed,1,euler_v2,0x7223442cad8e9cA474fC40109ab981608F8c4273,weETHk,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x01864aE3c7d5f507cC4c24cA67B4CABbDdA37EcD,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,14304518.775161,14228798.36683871,1.011804684362426,0.122,0x8506f5f5f31B2cC7e3deBeCb9816ef4b5a877211,telosc-stream,20000000.0,20000000.0,0.15,1
0x01d1a1cd5955B2feFb167e8bc200A00BfAda8977,1,euler_v2,0xDcEe70654261AF21C44c093C300eD3Bb97b78192,wOETH,18,0.0,0.0,1.0,0.0,,mev-capital-weth,3000.0,inf,0.0,0
0x038dd0Eb275B7DE3B07884f1Fa106eD6423C45F2,1,euler_v2,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,8,80.4543001,70.55148511547114,1.0039498836520104,0.122,0xeF76ebea5ffAA6d3F0299c33AA111fC333af9036,telosc-stream,200.0,200.0,0.15,1
0x0391d9029713B1E9Ee1e241CB53D6BC89bAf299d,1,euler_v2,0x1135b22d6e8FD0809392478eEDcd8c107dB6aF9D,PT-tUSDe-18DEC2025,18,54634357.237151474,0.0,1.0,0.0,,euler-yield,80000000.0,inf,0.15,1
0x03eed1586a9fDcc328b4Fc4Fbd222fbDd6506A64,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,0.0,0.0,1.0022559823814083,0.0,0xA751f08645531a8121a3944852FB6904f1bBC277,,20000.0,20000.0,0.07,1
0x056575e43A440D49B14E94022Be9FAD85679D138,1,euler_v2,0x6Bf340dB729d82af1F6443A0Ea0d79647b1c3DDf,tacBTC,8,0.0,0.0,1.0,0.0,,tulipa-tac,inf,inf,0.0,0
0x056f3a2E41d2778D3a0c0714439c53af2987718E,1,euler_v2,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,8,32.8915126,1.4329851347423286,1.0114972244281917,0.0,0xFc85FFB8C3A3d7564966Ea7d3A1354322dd90778,euler-prime,500.0,425.0,0.15,1
0x05755D78caD24417c42960b93D3Bf821a92e4d82,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,1.0,0.0,1.0017995614181057,0.0,0x3367C860aDBc90A0686C7C7865156Eb8D928D194,alterscope-lrt,inf,5000000.0,0.13,1
0x0593aAfDc6e0fAa4D423C276cD3549c3953f6270,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0087215779572207,0.1,0xc98b532a4Ed05862eDd7886CaCC5EE2bDE623F0C,,inf,inf,0.1,1
0x0685191dFd11E09fD23C01C54d32b84c4D18ed77,1,euler_v2,0x8E870D67F660D95d5be530380D0eC0bd388289E1,USDP,18,0.0,0.0,1.0,0.0,0x30196C4ff735E826a64438DfeFe1a195fbdf38E3,,inf,inf,0.105,1
0x07F9A54Dc5135B9878d6745E267625BF0E206840,1,euler_v2,0xdC035D45d973E3EC169d2276DDab16f1e407384F,USDS,18,536.8807395352251,86.8240998407075,1.0454649518102834,0.0,0x029841cBB4c939C569961BC3Ed0DB44AFde278F7,euler-prime,2500000.0,2250000.0,0.15,1
0x07e32FF47B1056Ce33B5bDB633Dc925fE52eB5E8,1,euler_v2,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,cbETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x09136DAC538B54994170a6905507a74562A80ed3,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,2995.954859,962.3909925477108,1.040457175172654,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-medge,inf,inf,0.15,1
0x0934554feefa7e264C349cDe626933b908166635,1,euler_v2,0xFfEc096c087C13Cc268497B89A613cACE4DF9A48,PT-USDS-14AUG2025,18,2.0243823560307854,0.0,1.0,0.0,,,0.0,0.0,0.15,1
0x09C47745Db8c6e84e2B2be476219D5D9eFfAE3cA,1,euler_v2,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x09FcE883cC16894274802c01e3b9cD90EAE4e43d,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,10.040742,0.0,1.0042093084893735,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-strata,inf,inf,0.15,1
0x0Aa836a55c7C3513D15795E7ec23378Ef511BB9f,1,euler_v2,0x19Ebd191f7A24ECE672ba13A302212b5eF7F35cb,yUSD,18,3.472733018061086,0.0,1.0112777319131334,0.3,0xBf19De06b3EcB4C6dCda9d923150F749925218E3,rezerve-vaults,50.0,0.0,0.15,1
0x0D1B386187be8e96680bbddBf7Bc05FC737f81b8,1,euler_v2,0xae78736Cd615f374D3085123A210448E74Fc6393,rETH,18,274.85350325287595,0.0008834223435735,1.00185821946938,0.0,0x8a70d5962899B58eacC4d8a62368D490C0e53ad4,euler-prime,400.0,100.0,0.15,1
0x0DBaDdDF25ED581D0b8AccE9567be0D160fd05f9,1,euler_v2,0x2c543181871718C05bB191B8CE8F2A6538D72762,PT-mMEV-29JAN2026,6,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x0DE3821015518a6179A51d27Bc7ed4a0a3C45b52,1,euler_v2,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,ETH+,18,0.0,0.0,1.0,0.0,,mev-capital-weth,500.0,inf,0.0,0
0x0E88544bf60bbc748FA542B79e9aE3Cf18Db7F75,1,euler_v2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0.0,0.0,1.000890851666852,0.0,0xa04CE30E78ed5F2B158a957F66E91AE97332962b,,inf,inf,0.1,1
0x0F81E34a5AD7929eB863F97F4217A182923FCEfb,1,euler_v2,0x030b69280892c888670EDCDCD8B69Fd8026A0BF3,mMEV,18,110.70688131567243,0.0,1.0,0.0,,,0.0,0.0,0.15,1
0x0F864362440DCb89232D5aFdBA0aB6EF284B5414,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0220824002781257,0.0,0x9ED93004509E855FDb1e6C7e8816877976d44f32,,inf,inf,0.15,1
0x0F93f35c0664A6a8231ccAe7E22f652c9c075b32,1,euler_v2,0x076BdA095a434a7B00733115A0D679DE6478d9f8,PT-YU-4SEP2025,18,145.71079222487018,0.0,1.0,0.0,,frontier-yala,inf,inf,0.15,1
0x0FA7B7EDae873f51A18898f285ebD1fe7199FE5b,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x0Fc9cdb39317354a98a1Afa6497a969ff3a6BA9C,1,euler_v2,0xbdC7c08592Ee4aa51D06C27Ee23D5087D65aDbcD,USDL,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x0c01F00e419977CF452e78AaE35ffB95C47d9534,1,euler_v2,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,18,0.0,0.0,1.0,0.0,,frontier-renzo,inf,inf,0.15,1
0x0f080Bf8Ba818001EcfB2f461708D8484323D0cE,1,euler_v2,0xBA1EDF4A4C7eB8Cb0DaE0594326179f9c7D909D2,PT-xUSD-18DEC2025,6,627680.423982,0.0,1.0,0.125,,telosc-stream,10000000.0,9000000.0,0.15,1
0x1098b3E48B93C08F9800AE8d23Dc65141aF84aF2,1,euler_v2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0.0,0.0,1.0043468582209054,0.0,0xF1a82e49c565511DF5aA36eF2b23ba9e4aF0985B,,inf,inf,0.15,1
0x10e0B2B42874ADF8c29D5F900c0D18b61f048ffb,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,99869.703352,0.0,1.021819155347718,0.0,0x25F346001874E386Cfe2C710F011Ed5483777227,keyring,inf,0.0,0.15,1
0x117576B8854a03aB7C3dF1Cf1cd8E04767BfA866,1,euler_v2,0x0022228a2cc5E7eF0274A7Baa600d44da5aB5776,stUSD,18,11065.221198400614,0.0,1.0,0.0,0x75846C89cbb80FB52B5Dc4c14a459358186528DE,stablecoin-maxi,inf,inf,0.1,1
0x11777b78b73a547B4c022B00D6883807ffa84b2a,1,euler_v2,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0x122e9eA082D8c060Bb1a3476aa18B9E739fBbAAf,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,0.0,0.0,1.0055406099611357,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-medge,inf,inf,0.15,1
0x1334d0E5ca5855A803998fcC78548142BEF36e3B,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,0.0,0.0,1.0,0.1,0x3fF20b354dCc623073647e4F2a2cD955A45Defb1,mev-capital-weth,inf,inf,0.15,1
0x13a2322907cea4CE62525476f9dAc191f0B590Db,1,euler_v2,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,sUSDS,18,0.0,0.0,1.0,0.0,,frontier-spark,inf,inf,0.15,1
0x140AAE127acAcb5A54E4249c0ba879c39E33541c,1,euler_v2,0x07a36C630e3F072637da3445Da733B29958D8cAB,sBUIDL,6,0.0,0.0,1.0,0.0,,,0.0,0.0,0.15,1
0x14d777665EA3bb224f222E69c85bcA890557d078,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,0.0,0.0,1.0,0.0,0x741e780123753F698645836917267164641eBAAE,horizon-clearstar,70000.0,63000.0,0.15,1
0x154ED44b252c58e5768f022C5143929329b28Ed9,1,euler_v2,0x004E9C3EF86bc1ca1f0bB5C7662861Ee93350568,uniBTC,8,0.0,0.0,1.0008776636193075,0.0,0x6098DEAEB73A1C26626e4a3B87495BD3d6AdA8b3,frontier-bedrock,inf,inf,0.15,1
0x155d4A34938dcB27486f5Bbf6a19d19D0ef0DD8A,1,euler_v2,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,RLUSD,18,0.0,0.0,1.0,0.0,0x2fF731d425d2B0be3d9CC2123c5B412CA5119CA5,euler-rwa,100000000.0,9000000.0,0.15,1
0x15A60a5300c1D9179d4c0e2B49bac6146794Ae1F,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0061832610152297,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-reservoir,inf,inf,0.15,1
0x15bdfb8701b40E2AC3C7e432801329159A54eBc8,1,euler_v2,0x97cCC1C046d067ab945d3CF3CC6920D3b1E54c88,USP,18,0.0863671122742184,0.0,1.0,0.0,,,inf,inf,0.0,0
0x166d8B62E1748D04eDf39d0078F1Fe4aA01D475E,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,1.245281,0.0,1.0962170505295217,0.0,0x5ceb1A6B4a16e8113665e1f3296fec5586F882Fe,idle-credit-vaults,inf,inf,0.15,1
0x16d84F98765Ed86501a052D47E76BFefb2D36206,1,euler_v2,0x738d1115B90efa71AE468F1287fc864775e23a31,srUSD,18,14879.23143318634,0.0,1.0,0.0,,euler-yield,30000000.0,inf,0.15,1
0x17CC1825a9DD7E17CfB59031432AEBf3854D916E,1,euler_v2,0x35D8949372D46B7a3D5A56006AE77B215fc69bC0,USD0++,18,0.0,0.0,1.0,0.0,0x1EbF1B45D257A751098eBc36CE8dDe2Af9D4f949,,10000000.0,2500000.0,0.15,1
0x17d4Fb15a85eC7042c23490A9D69F3D1e69Dd2A1,1,euler_v2,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,RLUSD,18,0.0,0.0,1.0,0.0,0xbBa464f2C6C4661d77af7E7a1109d8A6Ec70bC6B,,50000000.0,5000000.0,0.15,1
0x17ec0701F4683239a4A388D6B3E322D1F874ABdC,1,euler_v2,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,18,0.0,0.0,1.0188601339389125,0.0,0x8679B942AFFF501346EBc5a6f8Ea9C96bc83DB8A,,inf,inf,0.1,1
0x18337806b02b02099209b05589E6db85acD4345C,1,euler_v2,0x5b1578E2604B91bd7b24F86F0E5EF6C024bB3a14,PT-hgETH-25JUN2026,18,0.0,0.0,1.0,0.0,,frontier-upshift,inf,inf,0.15,1
0x1865fF3D2e3a55c4cF821ce54721743eddA25642,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0,0.0,0x7156e7931A441ED0CbF1Cf7Ce73da0955242a6A9,,120000000.0,108000000.0,0.15,1
0x18979F3807237F3a4254F00dfFD6c047fb967912,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0188602977921073,0.0,0x8679B942AFFF501346EBc5a6f8Ea9C96bc83DB8A,,inf,inf,0.1,1
0x1924D7fab80d0623f0836Cbf5258a7fa734EE9D9,1,euler_v2,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,rsETH,18,3256.01078519207,97.29712009096885,1.0050363953444073,0.0,0x3182ddB461934E312eEC21035324243648DdfcD7,euler-prime,27000.000000000004,6750.000000000001,0.15,1
0x1926f5Bb9ed68BA83255fB219828a90Bd9F40771,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,0.0,0.0,1.0049616752016732,0.0,0xbD5B4FcfA795CB623aD12621B0C2f82826878C2e,,inf,inf,0.05,1
0x194867afacB68e965d4E3EADA7D582fdCB763CAD,1,euler_v2,0x6440f144b7e50D6a8439336510312d2F54beB01D,BOLD,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
