asset,shock,mode,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,57912566.877908275,57912566.877908275,105,4118445.747208248,2488277.428202991,0.2134498988738157
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,UB,84034778.38248667,78136298.69398671,70,5075406.4907123605,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,60326983.57581809,60326983.57581809,104,4506146.145380736,2187635.6673378344,0.2597038768294618
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,UB,86247125.1081996,80421001.9527246,68,5198969.339890256,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,63062343.13756633,63062343.13756633,98,4723275.704519475,1860700.4698104796,0.3173647220685828
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,UB,88459471.83391249,82966945.55110155,62,5000108.67381926,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,65819579.40587686,65819579.40587686,90,4984721.280832569,1591651.1366890024,0.3481965503107237
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,UB,90671818.55962542,85935352.37023732,49,4409048.431187601,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,69623788.91591713,69623788.91591713,81,4310829.354455429,1335044.6526704945,0.4158665212478355
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,UB,92884165.28533828,88742428.04934137,42,3991439.074677184,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,72607095.91207236,72607095.91207236,76,4609614.15604057,1050742.542717247,0.50584876521443
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,UB,95096512.0110512,91071306.18586224,37,3992219.2657401194,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,76421240.38264042,76421240.38264042,72,4134021.541816369,834058.9623029806,0.5806243045152494
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,UB,97308858.73676409,93438706.45031312,33,3863953.087711725,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,79994815.60043594,79994815.60043594,62,4047170.2802907666,593281.870105188,0.759507475516397
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,UB,99521205.46247701,97409225.84174979,25,2107791.0472526466,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,83702040.88381694,83702040.88381694,55,3919381.8524542474,383870.46677530586,0.9930694616899365
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,UB,101733552.18818986,100837979.18616095,18,893433.3881190141,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,88375914.38026276,88375914.38026276,40,2926491.5721718767,196991.29096893515,0.014212578202270587
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,UB,103945898.91390279,103193412.92428622,12,752301.7350078486,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,92162181.02261202,92162181.02261202,31,2933550.804559569,21848.044731599228,0.07898748135147712
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,UB,106158245.6396157,106116379.55694644,10,41866.082669238465,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,97962318.47974452,97962318.47974452,20,892731.27922766,4791.329573084661,0.06432341002443909
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,UB,108370592.3653286,108335534.42949519,6,35057.93583340996,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,101865207.08945903,101865207.08945903,15,859678.5113088586,1295.2925619814066,0.08647058873849044
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,UB,110582939.0910415,110565981.645282,3,16956.818465517375,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,106680821.57578386,106680821.57578386,6,35777.71047307944,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,UB,112795285.81675442,112794830.39731121,1,450.6029494852258,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,0.6723345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,UB,115007632.54246731,115007160.35812388,1,463.21440482732544,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,0.017435468246003966
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,UB,117219979.2681802,117219489.46787557,2,476.70896479501323,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,0.015657574374413022
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,UB,118993240.62756455,118992740.04648627,2,486.42475635413285,,
