asset,shock,ub_liquidated_usd,ub_liqs,ag_liquidated_usd,ag_liqs,ag_bad_debt,ag_eff
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,5075406.4907123605,70,4118445.747208248,105,2488277.428202991,0.2134498988738157
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,5000108.67381926,62,4723275.704519475,98,1860700.4698104796,0.3173647220685828
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,3991439.074677184,42,4310829.354455429,81,1335044.6526704945,0.4158665212478355
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,3863953.087711725,33,4134021.541816369,72,834058.9623029806,0.5806243045152494
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,893433.3881190141,18,3919381.8524542474,55,383870.46677530586,0.9930694616899365
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,41866.082669238465,10,2933550.804559569,31,21848.044731599228,0.07898748135147712
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,16956.818465517375,3,859678.5113088586,15,1295.2925619814066,0.08647058873849044
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,463.21440482732544,1,16909.81782218103,3,1.5089307637383857,0.6723345547295919
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,486.42475635413285,2,483.50481149712516,2,11.156875256466316,0.015657574374413022
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,486.79195522784045,2,484.23507343219984,2,11.909058427821702,0.014984231770095769
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,487.1591541015479,2,484.9658868089198,2,12.661576045936137,0.014390199366065577
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,487.5263529752556,2,485.6972516272853,2,13.414431848151088,0.013862173174617194
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,487.89355184896306,2,486.429167887296,2,14.16762954098497,0.01338966757622702
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,488.2607507226706,2,487.1616355889522,2,14.921172800448968,0.012964306537631625
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,488.6279495963782,2,487.89465473225385,2,15.675065272362268,0.012579318485597034
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,488.99514847008584,2,488.62822531720093,2,16.429310572659432,0.012229169686727416
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,9490851.725593777,87,3794997.0911501064,102,2652838.0288662305,0.18085374300983081
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,6244843.977490988,78,3907284.277261947,102,2388703.5706493044,0.2119149369023544
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,6188505.255022286,65,8443074.701828737,99,1732455.7200012,0.35381678546172657
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,3935950.8030391834,39,4373529.320435217,83,1163058.2904192323,0.4476021155979667
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,1209977.3525140116,24,3920200.2041695802,61,658394.3155290907,0.7050380567978087
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,789362.261534695,14,2996841.670085275,40,191513.01054238432,0.014279429419303175
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,749593.6236582779,5,763652.4188849275,16,31603.26454270375,0.014005580936060935
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,814.268817903861,2,731680.4846135087,3,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,173417.79397472113,7,62106.11742556145,3,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,179511.83971857626,6,62580.685585095176,2,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,181753.60433335218,5,63487.47559354859,3,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.25,128333.08972723606,5,63974.88241769239,3,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,121381.64725130018,5,811.2136756090682,2,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.15,5560.655745987167,4,468.46789412019456,1,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,483.56003164691384,2,477.8264234453468,2,3.8882563887671315,0.035540429850441674
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,486.46118949535355,2,483.57720852074186,2,10.528226237588633,0.01629926396320194
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,1710523.5196312177,46,4531489.624433114,101,957503.6531360926,0.5024359890814981
