asset,shock,mode,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,57912566.877908275,57912566.877908275,105,4118445.747208248,2488277.428202991,0.2134498988738157
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,UB,84034778.38248667,78136298.69398671,70,5075406.4907123605,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,69623788.91591713,69623788.91591713,81,4310829.354455429,1335044.6526704945,0.4158665212478355
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,UB,92884165.28533828,88742428.04934137,42,3991439.074677184,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,83702040.88381694,83702040.88381694,55,3919381.8524542474,383870.46677530586,0.9930694616899365
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,UB,101733552.18818986,100837979.18616095,18,893433.3881190141,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,101865207.08945903,101865207.08945903,15,859678.5113088586,1295.2925619814066,0.08647058873849044
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,UB,110582939.0910415,110565981.645282,3,16956.818465517375,,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,0.6723345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,UB,115007632.54246731,115007160.35812388,1,463.21440482732544,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,0.015657574374413022
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,UB,118993240.62756455,118992740.04648627,2,486.42475635413285,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,Agent,118775401.3704906,118775401.3704906,2,484.9658868089198,12.661576045936137,0.014390199366065577
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,UB,119103011.9691467,119102509.89517115,2,487.1591541015479,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,Agent,118993718.27679077,118993718.27679077,2,486.429167887296,14.16762954098497,0.01338966757622702
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,UB,119212783.31072882,119212279.74493049,2,487.89355184896306,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,Agent,119212524.30251473,119212524.30251473,2,487.89465473225385,15.675065272362268,0.012579318485597034
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,UB,119322554.65231098,119322049.5957545,2,488.6279495963782,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,Agent,119322110.73515156,119322110.73515156,2,488.62822531720093,16.429310572659432,0.012229169686727416
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,UB,119377440.32310203,119376934.52156271,2,488.99514847008584,,
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,Agent,55895144.222204864,55895144.222204864,102,3794997.0911501064,2652838.0288662305,0.18085374300983081
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,UB,82178505.66235998,71674509.80556792,87,9490851.725593777,,
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,Agent,59890929.911227874,59890929.911227874,99,8443074.701828737,1732455.7200012,0.35381678546172657
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,UB,88748385.44152416,82175568.60069507,65,6188505.255022286,,
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,Agent,79276039.82388142,79276039.82388142,61,3920200.2041695802,658394.3155290907,0.7050380567978087
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,UB,98976365.62564714,97715877.36466677,24,1209977.3525140116,,
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,Agent,99514667.21376427,99514667.21376427,16,763652.4188849275,31603.26454270375,0.014005580936060935
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,UB,109204345.80977014,108454752.18611187,5,749593.6236582779,,
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,Agent,108806054.6430428,108806054.6430428,3,731680.4846135087,0.0,1.0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,UB,114318335.90183161,114317521.63301371,2,814.268817903861,,
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,Agent,108060674.29583722,108060674.29583722,3,62106.11742556145,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,UB,113542038.92784525,113348789.0576913,7,173417.79397472113,,
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,Agent,110798361.47942705,110798361.47942705,3,63487.47559354859,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,UB,115014610.69435722,114830023.12323222,5,181753.60433335218,,
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,Agent,113658984.85203598,113658984.85203598,2,811.2136756090682,0.0,1.0
