asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,bonus,0.05,58224783.68858067,58224783.68858067,105,4113241.9083014643,2181264.456437379,0.08962500547346487
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,bonus,0.05,60658367.57440504,60658367.57440504,104,4505166.3572279615,1857231.4569036528,0.11428078951261963
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,bonus,0.05,63404271.70753384,63404271.70753384,98,4694062.588051791,1547985.0163106506,0.14397410589774723
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,bonus,0.05,66126739.79113995,66126739.79113995,90,4987715.477662597,1281496.5545958776,0.17262481717313535
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,bonus,0.05,69954461.85572861,69954461.85572861,81,4304081.100694161,1011119.9666202833,0.2027019303884324
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,bonus,0.05,72902892.46209326,72902892.46209326,76,4589378.893658772,775181.2550781193,0.2813999888859892
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,bonus,0.05,76697647.45724261,76697647.45724261,72,4131133.6619208986,560539.7675962703,0.3445784953820586
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,bonus,0.05,80243953.81429847,80243953.81429847,62,4038655.971181975,352657.96535145846,0.5424891444739602
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,bonus,0.05,83893318.35598424,83893318.35598424,55,3914156.3465772266,197818.50048503638,0.9143643683371206
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,bonus,0.05,88515128.24602765,88515128.24602765,40,2907600.6570087024,76668.34036722449,1.7920563419853457
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,bonus,0.05,92204952.73448211,92204952.73448211,31,2905969.028760638,6658.108660439885,19.42632372337707
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,bonus,0.05,97968745.86528167,97968745.86528167,20,889386.1123505231,1709.110913088119,14.262151574449597
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,bonus,0.05,101866989.5685893,101866989.5685893,15,859185.4830234946,5.841717069373174,1611.5198014948544
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,bonus,0.05,106680967.27412415,106680967.27412415,6,35632.01213280071,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,bonus,0.05,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,67.23345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,bonus,0.05,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,1.7435468246003967
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,bonus,0.05,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,1.5657574374413024
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,Agent,bonus,0.05,118611984.67540513,118611984.67540513,2,483.8698735344568,11.53292527109561,1.5310022654804871
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,Agent,bonus,0.05,118666426.3371337,118666426.3371337,2,484.23507343219984,11.909058427821702,1.4984231770095768
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,Agent,bonus,0.05,118720898.56882901,118720898.56882901,2,484.6004111903541,12.285275196724143,1.4678209428421343
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,Agent,bonus,0.05,118775401.3704906,118775401.3704906,2,484.9658868089198,12.661576045936137,1.4390199366065577
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,Agent,bonus,0.05,118829934.74211808,118829934.74211808,2,485.33150028789686,13.037961441655108,1.4118647399807027
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,Agent,bonus,0.05,118884498.68371087,118884498.68371087,2,485.6972516272853,13.414431848151088,1.3862173174617194
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,Agent,bonus,0.05,118939093.19526862,118939093.19526862,2,486.06314082708496,13.790987727778694,1.3619546522278294
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,Agent,bonus,0.05,118993718.27679077,118993718.27679077,2,486.429167887296,14.16762954098497,1.338966757622702
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,Agent,bonus,0.05,119048373.92827693,119048373.92827693,2,486.79533280791844,14.544357746320417,1.3171549964312168
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,Agent,bonus,0.05,119103060.1497266,119103060.1497266,2,487.1616355889522,14.921172800448968,1.2964306537631625
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,Agent,bonus,0.05,119157776.94113936,119157776.94113936,2,487.5280762303974,15.298075158156374,1.27671371999472
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,Agent,bonus,0.05,119212524.30251473,119212524.30251473,2,487.89465473225385,15.675065272362268,1.2579318485597033
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,Agent,bonus,0.05,119267302.23385228,119267302.23385228,2,488.2613710945218,16.05214359412576,1.2400194599696421
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,Agent,bonus,0.05,119322110.73515156,119322110.73515156,2,488.62822531720093,16.429310572659432,1.2229169686727417
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,Agent,bonus,0.05,119376949.80641209,119376949.80641209,2,488.99521740029144,16.806566655335583,1.2065701135431837
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,Agent,bonus,0.05,56175525.274038084,56175525.274038084,102,3784406.448032575,2383047.620150569,0.07562156048042541
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,Agent,bonus,0.05,56969168.084402636,56969168.084402636,102,3947312.4522355767,2265332.8873279993,0.0807668556957594
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,Agent,bonus,0.05,58355198.27168961,58355198.27168961,102,3904810.828590617,2092399.8818506023,0.08882844314987051
