asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,bonus,0.08,-1172.3878652835265,-209609.89058507932,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,bonus,0.08,161.38651661667973,-224857.80496596172,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,bonus,0.08,-9652.911735023372,-216098.72289572796,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,bonus,0.08,4960.3410508167,-211221.42673263326,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,bonus,0.08,-3716.258471232839,-219205.8388036848,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,bonus,0.08,-513.4315069634467,-186307.29587299353,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,bonus,0.08,-163.42421928653494,-180624.41258043516,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,bonus,0.08,-678.5870779338293,-150088.7669864032,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,bonus,0.08,3388.037051139865,-119280.34173898178,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,bonus,0.08,-8387.691361916251,-69083.60622772753,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,bonus,0.08,180.38808490196243,-8677.249241597063,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,bonus,0.08,-239.9649112347979,-2045.555472999968,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,bonus,0.08,2.615764287416823,-698.8997615996694,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,bonus,0.08,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,bonus,0.08,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,bonus,0.08,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,bonus,0.08,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,bonus,0.08,-2730.221555254422,-183145.59397955006,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,bonus,0.08,175.34934750804678,-191473.2668795907,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,bonus,0.08,-133.3138213106431,-202533.55806389404,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,bonus,0.08,-3400.1460603084415,-211136.18429927365,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,bonus,0.08,-5757.580448530614,-216997.54638721002,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,bonus,0.08,236.32337102666497,-194655.46215753397,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,bonus,0.08,-976.2481578262523,-200101.7985383902,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,bonus,0.08,1645.4085681810975,-185647.39846096165,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,bonus,0.08,-121.53288199612871,-177327.38788262836,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,bonus,0.08,2989.7320645810105,-142468.8296725059,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,bonus,0.08,-7989.412756539416,-55586.24913066393,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,bonus,0.08,49.80102415080182,-8444.55461478774,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,bonus,0.08,0.3941467188997194,-623.5137083449154,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,bonus,0.08,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,bonus,0.08,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.275,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.25,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.225,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.175,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.15,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.125,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.075,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,bonus,0.08,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.025,bonus,0.08,0.0,0.0,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,bonus,0.08,406.72426214348525,-163209.32873323816,0
