asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,ltv_targeted,+0.15,0.005100567359477282,-104.30216544726864,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,ltv_targeted,+0.15,-8.376176969148219,-822.7048755711876,-1
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,ltv_targeted,+0.15,-9396.950709502213,-2898.8326776348986,-6
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,ltv_targeted,+0.15,-5758.383629923686,-12489.740700413473,-3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,ltv_targeted,+0.15,-182204.3132102969,-11611.5975095334,-3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,ltv_targeted,+0.15,-217540.33374960534,-4142.788666982669,-4
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,ltv_targeted,+0.15,-37199.1399359284,-28485.892753057997,-4
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,ltv_targeted,+0.15,-432945.1677444023,-37097.987281223875,-7
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,ltv_targeted,+0.15,-446867.55448328424,-37137.75424128602,-8
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,ltv_targeted,+0.15,-533716.8510311334,-41704.786962938524,-7
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,ltv_targeted,+0.15,-537606.8288683211,-25.22126714564729,-6
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,ltv_targeted,+0.15,-372.15457630343735,-30.88328574359457,-2
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,ltv_targeted,+0.15,-383.6523215547204,0.0,-1
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,ltv_targeted,+0.15,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,ltv_targeted,+0.15,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,ltv_targeted,+0.15,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,ltv_targeted,+0.15,0.0,0.0,0
