asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,ltv_targeted,+0.15,57912671.17497316,57912671.17497316,105,4118445.7523088153,2488173.1260375436,0.2134131765247843
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,ltv_targeted,+0.15,60327814.65687063,60327814.65687063,103,4506137.769203767,2186812.962462263,0.2593875824944899
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,ltv_targeted,+0.15,63074638.920953475,63074638.920953475,92,4713878.753809973,1857801.6371328447,0.3159386149286623
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,ltv_targeted,+0.15,65837827.53020722,65837827.53020722,87,4978962.897202645,1579161.395988589,0.34254573963674273
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,ltv_targeted,+0.15,69817604.82663694,69817604.82663694,78,4128625.041245132,1323433.055160961,0.403524171047473
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,ltv_targeted,+0.15,72828779.03448895,72828779.03448895,72,4392073.822290964,1046599.7540502644,0.4935036762650914
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,ltv_targeted,+0.15,76486925.41532943,76486925.41532943,68,4096822.401880441,805573.0695499226,0.5637607389223052
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,ltv_targeted,+0.15,80464858.75546157,80464858.75546157,55,3614225.1125463643,556183.8828239641,0.7074948717840477
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,ltv_targeted,+0.15,84186046.19254151,84186046.19254151,47,3472514.297970963,346732.71253401984,0.9376939577801354
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,ltv_targeted,+0.15,88951336.01825684,88951336.01825684,33,2392774.7211407432,155286.50400599663,1.4419209439589873
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,ltv_targeted,+0.15,92699813.07274748,92699813.07274748,25,2395943.9756912477,21822.82346445358,6.4525412010632355
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,ltv_targeted,+0.15,97962721.51760659,97962721.51760659,18,892359.1246513566,4760.446287341067,6.465376171797633
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,ltv_targeted,+0.15,101865590.74178058,101865590.74178058,14,859294.8589873039,1295.2925619814066,8.6294837166859
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,ltv_targeted,+0.15,106680821.57578386,106680821.57578386,6,35777.71047307944,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,ltv_targeted,+0.15,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,67.23345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,ltv_targeted,+0.15,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,1.7435468246003967
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,ltv_targeted,+0.15,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,1.5657574374413024
