asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,ltv_targeted,-0.10,57909842.01006871,57909842.01006871,107,4121170.6150478213,2488277.428202991,0.21353483918049815
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,ltv_targeted,-0.10,60326981.68297115,60326981.68297115,104,4506146.145338236,2187637.560227282,0.25970454196702836
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,ltv_targeted,-0.10,63061666.34884903,63061666.34884903,98,4723711.745467049,1860941.2175802037,0.3176983948588115
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,ltv_targeted,-0.10,65809996.04146056,65809996.04146056,95,4994063.563903519,1591892.2180343594,0.3488018387347986
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,ltv_targeted,-0.10,69612655.82353836,69612655.82353836,84,4316832.891352102,1340174.2081525798,0.4187109763379212
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,ltv_targeted,-0.10,72580336.97561365,72580336.97561365,80,4631400.04159845,1055715.593618047,0.521016683352331
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,ltv_targeted,-0.10,76225650.30956617,76225650.30956617,75,4329333.348842156,834337.228351463,0.6059044845816763
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,ltv_targeted,-0.10,79944133.9352175,79944133.9352175,65,4086485.885266501,604647.9303479035,0.7687165666813621
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,ltv_targeted,-0.10,83651828.75241743,83651828.75241743,57,3962075.1744378787,391389.2761911876,1.0843036046212962
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,ltv_targeted,-0.10,87910563.30296558,87910563.30296558,47,3379684.615736553,209149.32470143714,1.5796430874712373
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,ltv_targeted,-0.10,91726078.71102138,91726078.71102138,37,3345046.883856179,46454.27702561714,4.787350232468439
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,ltv_targeted,-0.10,97381425.78656748,97381425.78656748,27,1473616.9135891392,4798.388388655249,19.095773481685136
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,ltv_targeted,-0.10,101325881.1003087,101325881.1003087,21,1398989.5322055938,1310.2608155577623,34.042695941958485
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,ltv_targeted,-0.10,106680417.84249477,106680417.84249477,8,36181.44376217354,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,ltv_targeted,-0.10,110813803.23063153,110813803.23063153,4,17291.52776420586,1.5089307637383857,81.02344691869607
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,ltv_targeted,-0.10,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,1.7435468246003967
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,ltv_targeted,-0.10,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,1.5657574374413024
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,Agent,ltv_targeted,-0.10,118611984.67540513,118611984.67540513,2,483.8698735344568,11.53292527109561,1.5310022654804871
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,Agent,ltv_targeted,-0.10,118666426.3371337,118666426.3371337,2,484.23507343219984,11.909058427821702,1.4984231770095768
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,Agent,ltv_targeted,-0.10,118720898.56882901,118720898.56882901,2,484.6004111903541,12.285275196724143,1.4678209428421343
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,Agent,ltv_targeted,-0.10,118775401.3704906,118775401.3704906,2,484.9658868089198,12.661576045936137,1.4390199366065577
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,Agent,ltv_targeted,-0.10,118829934.74211808,118829934.74211808,2,485.33150028789686,13.037961441655108,1.4118647399807027
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,Agent,ltv_targeted,-0.10,118884498.68371087,118884498.68371087,2,485.6972516272853,13.414431848151088,1.3862173174617194
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,Agent,ltv_targeted,-0.10,118939093.19526862,118939093.19526862,2,486.06314082708496,13.790987727778694,1.3619546522278294
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,Agent,ltv_targeted,-0.10,118993718.27679077,118993718.27679077,2,486.429167887296,14.16762954098497,1.338966757622702
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,Agent,ltv_targeted,-0.10,119048373.92827693,119048373.92827693,2,486.79533280791844,14.544357746320417,1.3171549964312168
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,Agent,ltv_targeted,-0.10,119103060.1497266,119103060.1497266,2,487.1616355889522,14.921172800448968,1.2964306537631625
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,Agent,ltv_targeted,-0.10,119157776.94113936,119157776.94113936,2,487.5280762303974,15.298075158156374,1.27671371999472
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,Agent,ltv_targeted,-0.10,119212524.30251473,119212524.30251473,2,487.89465473225385,15.675065272362268,1.2579318485597033
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,Agent,ltv_targeted,-0.10,119267302.23385228,119267302.23385228,2,488.2613710945218,16.05214359412576,1.2400194599696421
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,Agent,ltv_targeted,-0.10,119322110.73515156,119322110.73515156,2,488.62822531720093,16.429310572659432,1.2229169686727417
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,Agent,ltv_targeted,-0.10,119376949.80641209,119376949.80641209,2,488.99521740029144,16.806566655335583,1.2065701135431837
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,Agent,ltv_targeted,-0.10,55882702.69417066,55882702.69417066,104,3807370.3259065263,2652906.3221440325,0.1812476181303607
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,Agent,ltv_targeted,-0.10,56687119.74788019,56687119.74788019,103,3947234.238686164,2547459.437399851,0.19057044368677806
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,Agent,ltv_targeted,-0.10,58056137.350924455,58056137.350924455,103,3907556.9458247856,2388714.685381607,0.21203310464902692
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,Agent,ltv_targeted,-0.10,57300393.37193712,57300393.37193712,102,7672511.058324976,2063249.047522882,0.2956147089771636
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,Agent,ltv_targeted,-0.10,59890486.130442575,59890486.130442575,99,8443092.008360144,1732882.1942550864,0.354006580178115
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,Agent,ltv_targeted,-0.10,62864579.364202745,62864579.364202745,94,8965671.417817773,1433211.0652532352,0.37723816453070097
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,Agent,ltv_targeted,-0.10,71068152.06915845,71068152.06915845,86,4391822.2535860995,1167183.6976882254,0.46072740823921543
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,Agent,ltv_targeted,-0.10,74757232.30320483,74757232.30320483,75,4501483.342193044,898833.2071369975,0.5645408332708785
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,Agent,ltv_targeted,-0.10,79234616.67394333,79234616.67394333,64,3960509.981617656,659507.6880191125,0.7110558196581049
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,Agent,ltv_targeted,-0.10,83330512.88648765,83330512.88648765,57,3953547.6483192304,434353.95876154845,1.0135333240787412
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,Agent,ltv_targeted,-0.10,88086027.89359254,88086027.89359254,47,3453048.6279108794,209812.7809964289,1.586741406938269
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,Agent,ltv_targeted,-0.10,93431380.30349907,93431380.30349907,31,2432110.5336044836,82567.93327073946,2.0384458671890417
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,Agent,ltv_targeted,-0.10,98961446.3350554,98961446.3350554,22,1316861.3023380195,31615.25979847811,2.8959051113005634
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,Agent,ltv_targeted,-0.10,103997680.19787228,103997680.19787228,13,842782.0987318807,19.38634841353465,1342.2782672432727
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,Agent,ltv_targeted,-0.10,108805664.98543963,108805664.98543963,4,732070.1422166809,0.0,1.0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,Agent,ltv_targeted,-0.10,114400504.17013039,114400504.17013039,3,1179.0611727689861,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,Agent,ltv_targeted,-0.10,108060281.13537495,108060281.13537495,4,62499.27788782851,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,Agent,ltv_targeted,-0.10,108739294.52707799,108739294.52707799,4,62733.155786769625,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,Agent,ltv_targeted,-0.10,109421987.7668916,109421987.7668916,3,62967.09613345665,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,Agent,ltv_targeted,-0.10,110108360.82578862,110108360.82578862,3,63201.12795506373,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,Agent,ltv_targeted,-0.10,110797981.88740711,110797981.88740711,4,63867.067613498926,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.275,Agent,ltv_targeted,-0.10,111491708.59543504,111491708.59543504,4,64107.2714208362,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.25,Agent,ltv_targeted,-0.10,112189115.10195473,112189115.10195473,4,64347.58729472604,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.225,Agent,ltv_targeted,-0.10,112953615.91587074,112953615.91587074,3,1173.5063306123297,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,Agent,ltv_targeted,-0.10,113658619.10291637,113658619.10291637,3,1176.9627952204828,0.0,1.0
